ID,城市编号,城市,城市经理编号,城市经理,产品编号,日期,销量,识别码
714,C057,洛阳市,C-057,郑洛阳,P001,2018/1/1,46,P001C-057
715,C067,郑州市,C-067,王郑州,P001,2018/1/1,39,P001C-067
718,C060,邵阳市,C-060,赵邵阳,P001,2018/1/2,39,P001C-060
720,C017,安庆市,C-017,郑安庆,P001,2018/1/2,91,P001C-017
722,C048,惠州市,C-048,孙惠州,P001,2018/1/2,48,P001C-048
723,C007,赤峰市,C-007,孙赤峰,P001,2018/1/2,43,P001C-007
724,C043,扬州市,C-043,刘扬州,P001,2018/1/2,23,P001C-043
726,C073,昆明市,C-075,李昆明,P001,2018/1/2,9,P001C-075
727,C071,成都市,C-073,陈成都,P001,2018/1/2,3,P001C-073
729,C050,南宁市,C-050,王南宁,P001,2018/1/2,17,P001C-050
731,C069,兰州市,C-069,李兰州,P001,2018/1/2,41,P001C-069
733,C014,天津市,C-014,张天津,P001,2018/1/2,70,P001C-014
734,C027,南京市,C-027,李南京,P001,2018/1/2,84,P001C-027
737,C041,徐州市,C-041,孙徐州,P001,2018/1/2,47,P001C-041
739,C013,临汾市,C-013,王临汾,P001,2018/1/2,61,P001C-013
740,C025,六安市,C-025,王六安,P001,2018/1/2,34,P001C-025
741,C073,昆明市,C-075,李昆明,P001,2018/1/2,28,P001C-075
742,C020,杭州市,C-020,张杭州,P001,2018/1/2,7,P001C-020
743,C061,武汉市,C-061,叶武汉,P001,2018/1/2,46,P001C-061
744,C042,盐城市,C-042,张盐城,P001,2018/1/2,94,P001C-042
746,C022,淮安市,C-022,赵淮安,P001,2018/1/2,6,P001C-022
747,C040,宿迁市,C-040,李宿迁,P001,2018/1/2,80,P001C-040
748,C039,无锡市,C-039,吴无锡,P001,2018/1/2,11,P001C-039
750,C008,大同市,C-008,吴大同,P001,2018/1/3,99,P001C-008
751,C028,南通市,C-028,王南通,P001,2018/1/3,11,P001C-028
752,C035,苏州市,C-035,陈苏州,P001,2018/1/3,79,P001C-035
753,C063,信阳市,C-063,陈信阳,P001,2018/1/3,52,P001C-063
754,C057,洛阳市,C-057,郑洛阳,P001,2018/1/3,41,P001C-057
755,C054,赣州市,C-054,孙赣州,P001,2018/1/3,19,P001C-054
756,C073,昆明市,C-075,李昆明,P001,2018/1/3,8,P001C-075
758,C027,南京市,C-027,李南京,P001,2018/1/3,23,P001C-027
760,C037,泰州市,C-037,李泰州,P001,2018/1/3,28,P001C-037
761,C046,广州市,C-046,李广州,P001,2018/1/3,21,P001C-046
762,C015,邢台市,C-015,李邢台,P001,2018/1/3,96,P001C-015
763,C016,运城市,C-016,刘运城,P001,2018/1/3,90,P001C-016
764,C053,抚州市,C-053,周抚州,P001,2018/1/3,9,P001C-053
